N1;N2;N3;N4;N5;E1;E2;HasWin
9;14;23;8;1;1;7;1
9;23;40;16;14;1;5;1
37;7;28;13;4;10;11;1
13;50;5;33;15;9;11;1
42;32;23;25;37;1;11;1
32;13;14;39;30;3;9;1
3;22;50;10;37;6;10;1
31;49;28;20;3;2;5;1
9;6;13;28;37;4;5;1
46;32;27;3;41;4;8;1
36;21;10;6;9;2;6;1
29;32;23;1;5;1;7;1
15;40;24;48;38;2;9;1
27;10;30;47;12;8;9;1
2;30;38;43;46;7;2;1
43;38;19;10;46;1;11;1
2;10;30;44;1;1;8;1
35;33;26;40;5;3;8;1
36;10;6;39;31;6;10;1
44;37;38;39;4;4;7;1
4;8;22;23;48;1;12;1
4;17;30;43;44;2;10;1
5;24;30;31;43;3;6;1
8;15;30;38;46;4;7;1
25;30;31;42;50;2;11;1
39;20;37;50;44;4;8;1
4;22;30;32;34;3;4;1
48;11;44;43;36;2;7;1
5;46;29;35;24;11;12;1
42;1;12;6;18;2;7;1
19;24;28;30;50;3;10;1
31;28;10;2;14;7;5;1
35;36;26;42;20;5;12;1
16;40;39;41;14;8;10;1
37;36;29;22;13;1;9;1
37;19;41;20;7;12;2;1
41;5;33;17;12;4;9;1
46;12;43;36;1;3;5;1
39;23;16;32;3;1;4;1
27;9;33;13;11;7;10;1
4;27;23;30;17;3;8;1
19;26;17;13;36;2;3;1
23;37;50;29;45;5;11;1
36;4;37;21;34;3;6;1
1;9;15;19;25;1;7;1
32;6;50;24;48;1;5;1
18;32;7;48;19;3;7;1
40;29;1;48;41;6;12;1
6;11;31;39;42;1;3;1
45;21;1;8;30;2;3;1
44;49;13;18;37;9;12;1
35;17;29;10;27;4;11;1
9;24;42;47;49;1;5;1
28;18;29;6;9;9;1;1
3;7;8;14;49;5;8;1
4;12;32;15;38;1;5;1
15;7;1;47;5;9;12;1
10;12;17;3;27;3;5;1
39;42;24;45;2;2;8;1
10;14;30;35;46;4;10;1
18;28;39;46;48;5;12;1
26;15;40;25;41;4;5;1
29;30;41;40;36;9;2;1
29;24;21;30;14;8;10;1
41;9;31;5;29;2;4;1
14;44;43;48;12;2;11;1
8;1;26;49;9;5;9;1
41;27;1;45;25;5;7;1
21;14;20;47;11;10;7;1
50;26;42;22;14;8;10;1
11;20;35;37;45;3;6;1
22;25;10;37;49;8;5;1
35;50;39;17;47;6;8;1
45;17;21;9;28;1;3;1
4;31;21;3;38;3;7;1
44;43;11;18;26;8;10;1
38;42;15;17;41;9;12;1
12;3;22;27;49;4;11;1
9;39;27;20;43;10;11;1
25;40;20;22;37;3;7;1
8;42;33;24;10;3;9;1
27;48;38;12;7;6;9;1
5;7;26;36;39;2;10;1
15;8;42;25;27;1;4;1
30;12;9;19;11;4;9;1
20;8;30;11;15;3;8;1
2;20;28;29;44;3;9;1
26;22;16;12;8;6;7;1
7;43;30;3;35;1;3;1
27;25;19;6;23;11;12;1
14;20;25;30;39;2;8;1
11;9;32;19;43;3;9;1
2;13;22;49;16;4;5;1
22;17;45;38;31;5;12;1
33;20;4;14;23;6;10;1
5;21;22;31;49;2;8;1
2;10;19;35;50;6;7;1
24;33;9;1;34;2;6;1
17;24;26;28;45;4;12;1
9;13;31;33;46;6;10;1
2;21;17;27;34;5;9;1
47;23;20;44;1;4;11;1
19;29;36;6;10;3;9;1
21;5;44;36;3;3;6;1
38;49;31;47;36;8;11;1
6;37;50;41;48;4;5;1
47;2;11;29;30;1;12;1
35;31;10;42;20;2;12;1
13;2;43;22;4;8;9;1
19;41;49;13;45;3;4;1
19;25;33;36;48;2;9;1
44;40;24;2;10;3;10;1
43;26;7;35;21;2;9;1
44;38;4;31;10;8;10;1
3;4;15;46;50;5;9;1
4;17;44;23;3;6;9;1
17;20;28;45;48;5;9;1
5;1;23;17;7;3;8;1
17;10;27;49;31;3;5;1
43;4;25;16;47;2;10;1
3;7;16;26;50;4;7;1
44;29;35;11;2;4;9;1
10;14;18;21;49;9;11;1
34;27;49;23;19;1;11;1
13;16;34;35;45;10;12;1
4;5;8;31;43;2;9;1
2;12;15;34;50;3;4;1
1;9;18;39;48;5;7;1
12;29;38;42;44;2;12;1
4;7;13;23;42;1;3;1
11;17;26;37;48;1;10;1
21;19;45;20;42;8;9;1
3;10;12;23;26;1;12;1
4;16;17;18;32;2;11;1
25;30;5;26;8;3;10;1
6;19;39;45;48;7;12;1
9;10;13;28;41;1;12;1
2;7;10;13;42;3;6;1
14;17;32;37;49;11;12;1
14;24;36;40;43;2;9;1
5;15;17;37;44;7;11;1
44;27;23;17;43;1;12;1
5;18;21;31;35;6;9;1
1;2;5;21;32;2;12;1
1;3;29;47;48;3;12;1
15;28;37;40;42;1;6;1
4;9;12;31;43;5;8;1
3;12;36;44;45;8;11;1
8;16;24;26;35;3;11;1
7;17;29;37;45;3;11;1
2;4;8;27;50;2;9;1
6;15;20;30;38;4;7;1
5;7;21;25;37;3;4;1
3;8;10;32;45;4;12;1
1;3;33;40;45;3;4;1
9;18;32;38;46;2;3;1
50;31;27;4;23;1;8;1
5;14;28;30;47;4;11;1
4;30;31;38;42;4;6;1
4;16;32;42;46;8;12;1
3;14;31;36;50;1;12;1
16;23;42;43;49;10;12;1
2;15;18;24;43;8;12;1
1;15;18;25;31;9;11;1
18;20;36;43;44;3;9;1
16;28;29;30;36;8;10;1
7;26;36;38;43;6;12;1
20;25;34;42;45;6;11;1
11;17;22;23;41;6;11;1
2;4;23;39;40;3;9;1
2;15;40;43;46;3;6;1
4;6;27;48;50;1;11;1
1;4;14;21;49;2;12;1
3;8;26;33;45;7;10;1
8;30;33;38;48;2;10;1
1;12;15;29;48;3;5;1
15;21;23;40;48;3;12;1
15;16;20;34;50;4;7;1
14;25;39;41;44;2;8;1
7;19;26;42;50;4;9;1
23;26;33;38;49;1;12;1
7;21;23;36;38;6;8;1
8;19;32;43;46;2;8;1
9;15;22;39;46;4;5;1
17;18;24;29;40;4;5;1
6;11;20;38;43;2;4;1
13;15;16;28;41;4;5;1
1;11;37;41;48;8;12;1
5;8;10;13;31;3;6;1
4;16;20;31;39;2;12;1
3;22;34;49;50;8;11;1
17;25;35;39;44;2;5;1
6;12;23;39;45;9;12;1
6;15;17;42;48;4;6;1
12;24;40;41;46;5;12;1
20;23;28;30;44;3;7;1
3;16;25;39;44;7;11;1
15;27;33;39;50;4;6;1
5;25;34;48;50;6;7;1
14;27;39;46;48;11;12;1
1;29;33;45;47;4;8;1
3;8;16;40;43;5;8;1
12;17;28;35;47;7;11;1
17;20;23;40;46;9;10;1
5;7;11;46;50;8;11;1
26;29;37;39;44;9;11;1
4;17;24;27;31;10;11;1
9;11;13;33;49;6;12;1
9;14;21;32;44;1;12;1
15;20;26;31;44;2;9;1
2;7;34;45;48;1;12;1
3;31;41;48;50;8;11;1
18;17;28;47;10;3;7;1
6;14;19;25;29;5;11;1
10;12;23;32;50;4;10;1
10;13;17;21;44;1;10;1
22;31;36;38;44;1;11;1
8;17;28;34;38;6;12;1
14;34;36;39;48;2;3;1
11;15;21;27;35;4;5;1
6;15;24;28;48;4;9;1
5;8;9;23;24;7;8;1
3;8;17;44;50;2;7;1
20;23;31;34;46;3;12;1
13;21;23;30;45;4;6;1
6;12;15;38;49;2;9;1
2;5;20;38;41;4;8;1
10;20;21;28;48;1;8;1
26;31;33;41;48;2;4;1
1;7;22;26;35;5;10;1
3;11;13;14;47;3;6;1
8;24;30;32;34;3;4;1
1;7;12;25;49;6;9;1
9;16;18;23;32;2;10;1
2;10;19;21;47;2;8;1
1;3;27;39;46;1;10;1
18;31;32;38;48;4;12;1
3;7;12;42;50;6;8;1
2;3;15;19;34;5;8;1
3;21;32;34;48;3;11;1
8;10;15;30;42;4;6;1
3;13;20;32;34;4;11;1
1;21;23;25;39;2;4;1
8;17;20;23;45;2;8;1
9;14;25;33;48;2;12;1
2;20;39;44;48;5;7;1
16;18;28;42;49;5;10;1
34;37;39;40;50;4;10;1
2;5;32;33;47;7;8;1
8;18;22;41;42;11;12;1
3;28;31;32;34;4;5;1
2;14;19;42;45;5;6;1
7;10;15;44;49;3;12;1
6;9;35;41;44;6;9;1
2;11;18;40;46;1;4;1
24;37;41;43;46;2;8;1
2;33;42;47;48;1;2;1
8;21;25;38;50;4;8;1
22;45;43;44;37;1;12;1
1;12;27;42;47;6;7;1
3;22;25;30;49;3;6;1
10;13;22;40;48;2;5;1
7;11;38;39;44;7;10;1
25;27;45;46;49;4;6;1
8;26;35;43;47;1;9;1
4;17;35;42;45;2;8;1
20;22;23;24;37;1;4;1
9;10;27;37;42;1;5;1
13;29;31;33;40;2;3;1
2;14;35;41;42;10;11;1
12;13;29;36;38;4;12;1
13;22;33;44;50;2;5;1
15;20;23;27;40;3;6;1
2;5;27;37;42;3;10;1
1;14;19;23;38;3;7;1
13;14;17;26;28;2;7;1
5;13;18;39;3;8;7;1
2;31;39;45;47;4;8;1
7;29;32;36;41;6;7;1
2;9;20;34;42;6;9;1
19;44;11;29;45;12;8;1
1;3;16;33;49;2;11;1
6;26;27;34;46;1;9;1
5;8;9;25;39;3;7;1
12;24;37;40;44;3;7;1
1;13;30;31;39;2;7;1
25;27;39;42;46;11;12;1
1;4;16;20;34;2;5;1
31;32;9;39;41;8;2;1
1;23;24;26;35;1;11;1
7;19;20;28;29;1;5;1
5;16;23;30;49;6;7;1
32;33;34;39;47;8;12;1
16;28;42;43;45;6;7;1
10;14;17;25;50;2;10;1
1;4;27;45;48;1;7;1
7;20;26;32;47;2;11;1
2;9;20;27;43;5;6;1
5;12;20;26;48;2;11;1
33;35;50;47;14;11;9;1
18;23;27;42;44;2;7;1
7;8;32;41;49;5;11;1
1;8;15;44;49;2;11;1
1;28;35;36;46;6;9;1
18;21;29;38;41;1;11;1
7;45;10;1;29;5;3;1
9;26;16;2;36;6;7;1
13;23;26;32;47;6;10;1
12;19;23;43;47;2;6;1
4;17;26;30;43;6;11;1
1;6;9;34;47;7;12;1
46;24;42;15;3;12;9;1
5;7;13;19;31;2;9;1
17;18;19;24;40;4;8;1
6;10;16;39;46;8;11;1
6;9;19;26;31;11;12;1
3;15;29;35;47;3;4;1
3;27;29;33;50;3;7;1
1;8;18;19;39;7;9;1
15;27;34;38;49;2;10;1
6;34;36;41;50;1;5;1
11;12;13;39;46;7;10;1
14;25;31;37;43;2;3;1
3;21;26;41;46;1;6;1
14;24;26;32;39;3;8;1
1;6;13;15;16;6;10;1
9;23;29;41;49;8;10;1
5;6;16;30;46;5;10;1
33;22;35;25;29;3;6;1
1;19;31;39;48;1;6;1
3;19;22;31;32;2;11;1
7;11;19;27;37;6;10;1
1;8;11;25;28;4;6;1
7;32;39;40;45;3;8;1
16;21;27;30;32;3;5;1
2;10;16;42;50;4;11;1
2;3;13;17;21;7;8;1
9;13;21;29;35;1;2;1
6;9;13;24;41;3;12;1
1;4;21;24;46;2;12;1
14;20;27;34;38;1;11;1
14;20;29;47;49;4;12;1
2;5;8;14;16;8;9;1
25;33;38;42;50;8;12;1
28;29;39;48;50;5;7;1
16;19;25;30;44;2;6;1
1;5;17;28;31;1;10;1
3;19;29;32;38;5;12;1
7;12;37;40;50;1;2;1
5;7;18;20;30;6;7;1
12;16;20;21;28;3;9;1
13;15;28;32;44;3;12;1
10;15;19;21;23;3;12;1
5;6;15;37;42;3;4;1
15;33;38;40;50;3;6;1
5;14;38;41;46;1;10;1
11;15;35;41;50;5;8;1
4;21;36;41;47;9;11;1
6;12;15;40;45;3;9;1
4;14;16;41;44;11;12;1
19;23;34;37;45;1;7;1
16;25;28;39;40;1;6;1
2;10;19;25;45;1;7;1
16;20;25;30;38;6;8;1
34;38;42;43;45;9;12;1
2;9;31;35;41;9;12;1
6;22;29;40;43;4;7;1
4;8;10;33;46;8;11;1
7;12;16;17;31;7;9;1
18;37;39;30;7;10;8;1
10;15;35;44;50;3;5;1
6;12;17;34;42;5;12;1
9;10;19;42;49;4;12;1
8;13;14;42;50;3;9;1
5;20;21;36;41;6;11;1
42;2;5;1;15;8;5;1
21;24;30;46;49;2;5;1
9;13;15;17;34;2;7;1
8;9;27;28;50;4;12;1
14;15;24;29;42;2;4;1
7;15;27;41;43;7;9;1
11;22;30;37;47;9;10;1
15;17;23;30;38;2;7;1
12;16;23;33;41;8;10;1
4;16;27;37;39;3;6;1
1;6;11;28;42;2;10;1
1;10;12;21;26;5;11;1
19;46;49;12;2;8;1;1
5;14;19;24;43;3;11;1
4;9;11;17;39;2;10;1
2;24;39;45;46;4;8;1
5;15;27;36;46;2;8;1
5;11;17;24;37;3;6;1
10;12;22;26;49;7;11;1
4;8;11;19;46;4;8;1
4;9;14;21;27;4;6;1
3;18;22;27;32;2;7;1
5;25;32;37;43;6;7;1
11;23;32;34;39;1;6;1
9;16;29;37;39;4;11;1
8;25;32;33;38;7;9;1
2;10;22;27;41;2;3;1
47;20;19;45;38;2;6;1
15;23;26;28;32;1;5;1
1;5;19;21;28;4;7;1
10;11;14;23;28;6;8;1
16;28;32;37;45;1;11;1
6;29;34;35;40;4;11;1
3;10;17;33;39;1;4;1
4;5;14;33;48;7;12;1
16;19;34;46;50;2;6;1
12;17;24;30;36;1;9;1
11;14;27;41;46;2;3;1
7;12;26;30;33;10;11;1
40;9;20;34;3;6;12;1
5;7;8;16;20;2;12;1
3;11;21;27;36;9;10;1
11;23;30;37;43;5;12;1
15;38;43;45;46;1;11;1
4;14;27;44;45;1;10;1
8;11;20;22;23;3;4;1
1;4;18;27;42;4;6;1
7;23;30;32;45;5;9;1
11;32;34;38;47;2;10;1
5;20;35;41;49;6;10;1
24;26;32;43;46;6;10;1
9;15;17;25;40;3;9;1
21;23;33;35;47;6;7;1
13;18;20;23;30;2;4;1
1;19;27;31;38;4;5;1
3;4;6;9;24;5;8;1
10;11;24;36;46;3;5;1
8;19;20;29;44;3;8;1
21;25;29;39;44;8;9;1
6;17;32;44;46;2;6;1
5;8;12;37;43;6;11;1
5;15;20;36;47;8;12;1
18;20;35;38;48;9;12;1
1;5;27;36;42;1;6;1
5;7;25;37;40;2;8;1
8;16;42;44;47;6;7;1
25;27;31;35;43;5;6;1
4;10;27;38;40;3;11;1
2;10;18;34;35;6;9;1
18;23;37;41;42;4;6;1
12;34;37;38;42;1;3;1
16;28;32;44;48;1;9;1
39;17;14;13;40;3;7;0
44;12;28;12;5;8;5;0
6;20;18;4;44;5;2;0
5;6;43;8;20;8;6;0
48;38;40;12;36;0;1;0
35;43;44;44;36;0;6;0
2;48;15;49;24;11;3;0
0;42;10;4;37;9;7;0
4;25;43;26;6;6;2;0
44;22;15;2;6;8;6;0
15;23;43;27;46;8;9;0
35;30;49;0;8;4;4;0
38;34;11;49;33;6;7;0
29;4;4;0;19;1;4;0
22;38;14;24;23;10;9;0
34;41;16;11;37;0;2;0
43;26;14;19;30;2;8;0
27;31;44;7;6;11;8;0
9;7;30;46;21;8;2;0
43;22;7;26;34;10;5;0
44;9;41;33;49;9;4;0
28;46;0;11;20;4;9;0
6;19;16;8;32;9;6;0
45;38;10;27;31;11;7;0
14;24;32;26;8;7;3;0
12;4;38;39;22;7;0;0
10;16;7;39;13;6;6;0
14;36;4;46;27;8;0;0
19;48;26;34;7;2;6;0
34;11;9;0;32;7;11;0
16;5;7;39;27;11;5;0
26;35;16;49;44;2;8;0
12;36;1;20;11;6;6;0
42;40;43;25;24;4;1;0
16;40;30;10;11;3;2;0
25;43;1;34;18;4;0;0
8;13;28;37;36;2;2;0
0;44;8;30;41;1;6;0
14;4;46;30;0;4;6;0
5;31;35;43;13;11;2;0
3;7;40;32;3;7;2;0
5;37;18;39;3;3;3;0
20;42;13;5;21;7;6;0
29;33;22;40;14;0;8;0
38;41;31;43;15;11;1;0
13;37;43;30;11;8;5;0
31;36;22;12;34;8;4;0
43;3;15;32;5;9;6;0
2;49;8;32;32;8;6;0
48;0;2;44;31;5;11;0
38;27;21;15;28;11;11;0
26;20;6;20;43;8;0;0
44;14;26;30;30;4;8;0
41;45;46;37;29;7;9;0
39;25;31;44;34;6;6;0
2;22;49;34;44;5;0;0
13;34;22;1;41;6;6;0
0;8;21;18;12;3;1;0
38;19;11;7;13;1;2;0
0;47;24;15;6;6;8;0
47;0;39;19;4;8;2;0
26;9;22;48;20;8;7;0
34;17;49;2;31;4;0;0
0;32;29;2;36;4;3;0
5;35;5;10;22;5;4;0
41;47;20;26;20;6;0;0
12;20;13;12;40;8;3;0
36;25;8;35;18;7;5;0
46;26;46;6;11;7;2;0
1;2;34;5;40;7;11;0
40;44;16;30;47;2;9;0
36;12;38;15;17;9;4;0
21;5;25;18;27;10;3;0
13;11;49;37;19;0;9;0
19;36;10;29;1;10;7;0
14;31;45;14;14;11;1;0
5;47;18;46;24;3;1;0
2;40;18;47;21;10;4;0
8;38;33;16;20;9;7;0
1;14;22;0;9;7;11;0
2;22;2;6;8;1;4;0
34;32;29;46;42;4;10;0
25;37;17;12;11;6;8;0
15;28;11;0;25;0;6;0
35;9;44;33;27;6;0;0
19;31;19;46;6;4;1;0
17;16;18;29;41;1;8;0
39;48;19;12;35;2;8;0
18;14;11;14;48;0;2;0
39;26;4;26;32;2;0;0
36;10;16;48;9;3;10;0
11;11;46;9;6;2;9;0
47;47;18;43;31;9;4;0
13;26;1;23;2;0;11;0
34;39;30;40;36;3;0;0
49;26;49;19;33;5;5;0
4;44;18;9;33;5;8;0
12;29;35;17;30;3;9;0
40;14;49;29;9;1;2;0
28;15;35;23;29;5;4;0
34;1;30;22;0;11;0;0
27;46;45;13;26;6;5;0
9;49;8;35;3;10;10;0
3;42;36;39;31;8;9;0
45;46;16;21;17;1;8;0
34;41;26;48;20;8;0;0
11;20;10;31;27;3;5;0
8;26;48;43;28;4;9;0
15;27;43;28;12;0;11;0
38;46;45;8;28;10;8;0
46;22;48;42;27;4;9;0
49;23;12;9;14;8;7;0
36;29;37;8;41;3;3;0
0;3;5;1;39;1;0;0
40;20;5;19;40;11;0;0
39;1;23;4;36;8;7;0
34;19;30;37;12;3;11;0
12;47;36;45;28;11;4;0
43;31;6;18;3;2;7;0
45;17;34;9;10;4;5;0
29;1;0;14;48;11;8;0
10;19;12;19;32;6;10;0
3;2;36;17;49;0;10;0
15;19;11;48;35;6;10;0
29;0;9;23;20;2;6;0
30;31;25;21;17;3;3;0
38;45;30;44;35;6;4;0
42;42;40;12;44;5;3;0
26;33;8;7;32;8;9;0
39;21;25;5;38;1;0;0
3;1;15;2;31;7;4;0
11;16;27;6;3;7;9;0
30;3;35;11;37;7;2;0
46;29;45;28;16;0;9;0
16;38;13;31;10;7;8;0
12;24;42;28;44;9;9;0
32;46;3;26;49;7;10;0
43;5;47;36;17;11;0;0
4;28;11;22;10;7;4;0
19;12;30;44;16;6;5;0
0;20;28;42;4;6;8;0
34;39;37;9;42;8;3;0
13;25;42;26;16;4;11;0
29;14;11;47;44;1;10;0
9;12;2;22;4;8;10;0
42;22;20;45;32;9;8;0
0;41;17;19;14;10;5;0
45;10;8;21;13;2;4;0
29;22;8;48;34;3;3;0
41;41;9;14;23;10;10;0
8;39;35;43;5;4;0;0
45;27;39;17;41;9;4;0
35;33;40;15;41;0;10;0
29;9;30;16;15;6;0;0
4;49;7;19;30;10;8;0
36;11;18;13;19;3;8;0
47;13;8;12;13;4;3;0
22;1;37;35;13;6;0;0
38;13;10;38;47;6;10;0
23;43;9;46;18;6;4;0
10;48;2;23;26;10;2;0
48;23;38;48;34;5;10;0
30;17;17;14;40;5;9;0
35;26;20;27;6;4;0;0
4;0;10;13;47;11;4;0
37;16;24;22;40;8;6;0
12;36;34;43;25;3;3;0
15;25;17;20;22;10;8;0
12;31;7;41;46;2;7;0
16;0;24;47;14;3;4;0
42;5;37;9;11;2;4;0
16;23;24;30;30;10;0;0
6;4;48;42;17;0;3;0
0;32;20;40;8;8;5;0
9;11;4;35;42;0;10;0
24;34;19;49;4;2;10;0
11;38;0;43;11;10;11;0
24;34;41;2;30;0;4;0
39;24;44;2;30;5;10;0
26;19;12;10;7;0;0;0
27;2;48;13;37;10;8;0
13;22;9;2;13;7;5;0
0;1;7;33;6;1;0;0
44;25;8;3;48;7;4;0
28;45;37;24;36;4;6;0
8;15;7;15;30;5;5;0
21;17;17;18;46;4;8;0
2;6;29;12;37;0;4;0
10;19;32;43;14;2;2;0
39;31;14;14;47;1;5;0
37;19;0;2;24;9;3;0
22;21;25;16;1;7;6;0
19;20;21;15;15;2;8;0
1;39;8;16;32;2;6;0
7;18;23;4;41;8;9;0
11;26;25;11;17;10;10;0
33;30;20;35;39;0;4;0
42;3;24;15;15;6;9;0
27;29;24;11;46;1;3;0
4;5;25;27;36;10;7;0
29;5;29;43;20;1;0;0
13;14;12;14;26;5;7;0
4;30;40;32;46;7;4;0
29;46;27;19;25;4;5;0
0;33;10;25;40;11;11;0
4;18;16;29;46;1;8;0
32;44;6;9;45;10;11;0
40;43;16;15;10;9;2;0
19;2;38;45;24;8;1;0
26;42;5;45;12;10;0;0
8;43;13;20;28;11;11;0
11;5;40;25;33;5;11;0
9;26;12;17;48;4;6;0
31;25;23;38;43;6;10;0
41;46;38;2;36;8;1;0
10;15;9;0;38;11;6;0
12;43;15;9;12;4;7;0
10;15;45;16;39;5;2;0
29;22;10;14;7;3;1;0
19;49;16;38;15;2;4;0
16;18;7;19;24;1;9;0
20;36;32;10;29;1;9;0
32;4;30;4;4;6;3;0
18;28;24;44;28;10;2;0
11;23;27;8;24;4;11;0
26;38;21;21;30;3;0;0
30;26;11;20;21;9;0;0
33;19;25;22;17;10;11;0
20;10;39;41;39;11;8;0
38;24;26;6;18;11;5;0
29;35;14;35;15;4;10;0
40;39;7;15;11;6;6;0
17;20;33;34;22;5;8;0
14;14;33;22;37;1;3;0
42;18;41;23;34;6;7;0
44;36;25;39;32;11;2;0
39;22;26;15;20;3;7;0
26;25;12;21;42;8;11;0
8;28;31;8;27;1;1;0
28;16;28;6;34;8;10;0
6;15;44;27;49;11;0;0
38;45;16;29;36;8;11;0
42;9;34;28;1;0;1;0
34;46;49;16;43;1;3;0
14;5;3;24;21;10;2;0
14;5;40;10;9;10;9;0
35;3;24;39;23;0;10;0
31;34;38;21;21;7;6;0
25;25;11;17;44;2;9;0
47;29;30;15;2;11;9;0
29;2;8;5;44;2;6;0
30;24;9;10;35;9;4;0
31;46;41;24;21;0;4;0
44;31;20;9;0;7;1;0
18;12;18;45;24;6;1;0
11;4;27;15;49;10;9;0
24;29;26;31;38;11;2;0
48;47;7;20;2;4;8;0
1;14;8;20;26;3;11;0
28;8;35;36;37;8;3;0
23;48;47;11;46;8;11;0
42;13;29;25;31;8;5;0
47;13;11;8;2;5;10;0
29;37;5;13;0;3;11;0
27;32;31;46;25;10;3;0
4;49;11;26;28;7;5;0
25;6;36;20;40;2;2;0
35;3;47;3;15;2;10;0
28;26;22;24;9;5;8;0
25;18;22;1;7;9;7;0
15;23;24;49;13;0;2;0
44;45;11;8;2;3;7;0
32;34;42;19;17;0;2;0
17;11;36;31;36;9;0;0
15;14;1;14;29;2;7;0
33;27;27;10;32;10;0;0
1;29;5;39;13;9;4;0
10;13;4;29;27;10;6;0
9;7;10;32;39;3;6;0
39;2;12;39;22;0;1;0
43;36;11;11;7;2;2;0
27;42;31;23;0;1;10;0
45;46;24;33;16;0;7;0
5;11;17;27;21;10;8;0
14;36;34;29;5;9;9;0
1;1;40;13;3;1;5;0
9;27;31;20;41;0;0;0
15;49;8;49;41;4;4;0
10;4;19;6;36;10;1;0
27;10;23;44;11;4;3;0
8;47;33;8;34;6;7;0
13;48;5;13;33;8;1;0
27;17;35;0;34;5;10;0
11;21;33;7;18;9;10;0
23;40;24;18;32;6;2;0
49;48;8;13;43;11;0;0
27;26;18;48;8;6;8;0
20;22;2;27;41;0;10;0
22;26;0;6;36;11;10;0
31;29;4;46;31;4;9;0
5;49;19;24;37;5;2;0
30;17;3;9;41;11;5;0
7;40;13;17;22;1;8;0
43;49;40;8;24;3;9;0
45;7;30;31;40;1;5;0
29;17;7;28;48;3;1;0
15;19;27;22;19;0;5;0
43;15;41;42;22;0;4;0
6;28;43;40;11;7;6;0
41;30;30;47;21;4;9;0
18;22;10;32;14;2;6;0
17;32;0;4;14;11;2;0
12;10;23;29;12;1;3;0
3;44;32;18;16;7;7;0
2;4;40;39;13;7;5;0
32;41;17;23;24;1;8;0
4;45;19;6;25;11;8;0
19;3;12;33;24;8;3;0
42;39;35;25;18;9;5;0
23;20;36;15;37;6;10;0
43;48;17;37;45;4;11;0
46;14;32;31;0;4;6;0
48;37;2;3;20;1;5;0
11;6;36;29;14;3;7;0
44;19;34;35;48;6;0;0
44;7;46;9;12;0;5;0
5;28;12;36;30;8;3;0
36;26;41;3;44;10;0;0
21;20;27;29;16;5;7;0
20;8;19;2;0;10;6;0
47;17;45;33;6;3;5;0
20;40;35;18;8;10;7;0
48;29;20;12;13;7;2;0
16;1;23;32;44;8;5;0
31;4;41;39;45;2;10;0
46;40;32;35;5;1;4;0
0;33;23;37;38;8;11;0
2;18;25;12;47;2;3;0
44;21;10;45;32;0;2;0
17;2;0;30;41;1;4;0
26;48;13;30;21;7;9;0
0;33;30;17;17;4;3;0
34;39;26;2;15;9;2;0
25;4;41;3;49;6;2;0
21;21;21;49;34;6;3;0
48;5;37;48;18;6;5;0
30;10;1;43;10;2;5;0
36;24;20;20;11;6;8;0
28;43;45;8;32;7;7;0
29;13;18;9;42;8;7;0
38;21;25;38;10;5;9;0
13;5;22;6;39;9;1;0
5;23;31;3;4;6;9;0
0;43;48;42;22;2;6;0
39;11;48;37;49;8;10;0
1;47;26;22;0;11;6;0
29;8;42;20;9;10;4;0
17;9;30;47;5;3;5;0
17;4;27;35;20;5;2;0
27;17;9;7;1;3;7;0
11;28;29;36;38;4;3;0
13;42;35;35;24;11;7;0
8;39;13;41;2;7;4;0
19;15;18;25;29;11;11;0
14;13;48;37;14;8;1;0
22;39;17;38;4;7;5;0
33;0;33;34;15;1;7;0
40;2;35;8;36;0;8;0
23;10;19;31;44;5;7;0
25;36;36;38;45;4;6;0
18;19;20;2;35;9;3;0
37;35;24;31;6;7;9;0
26;48;42;8;14;1;4;0
15;21;17;13;26;6;2;0
46;45;16;19;30;7;8;0
41;35;36;14;18;7;1;0
33;42;33;3;8;4;3;0
47;49;20;25;46;9;4;0
23;15;36;18;14;8;2;0
8;49;6;40;31;10;6;0
9;39;8;20;1;10;7;0
38;36;5;27;31;7;2;0
12;24;15;37;22;4;7;0
30;9;9;33;26;11;10;0
30;35;19;3;15;9;2;0
11;19;38;30;14;6;8;0
13;23;4;10;16;10;6;0
42;45;7;7;4;2;6;0
46;29;4;48;44;11;5;0
46;5;36;44;7;7;0;0
11;43;44;23;49;0;10;0
25;29;31;27;3;8;10;0
21;25;24;32;19;9;6;0
3;48;17;47;14;10;7;0
18;25;1;47;42;0;4;0
4;23;49;9;39;0;1;0
8;33;46;20;18;5;3;0
38;6;40;40;14;7;6;0
20;39;11;39;0;0;8;0
13;33;33;10;44;0;2;0
43;47;25;9;36;0;8;0
13;14;22;35;20;3;3;0
31;29;17;49;27;2;11;0
28;21;10;47;30;8;2;0
35;1;48;23;39;5;9;0
44;37;13;8;44;5;0;0
30;6;10;23;18;7;7;0
38;20;46;43;8;2;10;0
24;16;10;13;40;1;1;0
1;25;15;31;8;5;0;0
43;22;23;0;21;5;10;0
5;45;23;20;47;9;2;0
1;9;12;18;17;0;10;0
22;26;4;27;28;3;7;0
14;37;25;7;19;4;2;0
14;33;3;19;44;0;10;0
15;43;44;21;39;9;5;0
10;49;38;22;38;8;2;0
2;26;16;43;2;8;0;0
46;5;0;39;36;9;0;0
45;48;16;35;34;10;11;0
19;12;7;33;26;8;3;0
16;19;6;41;8;6;7;0
25;43;26;21;49;1;9;0
0;30;37;23;22;4;8;0
40;18;39;38;39;2;2;0
